name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
VR Aaron,8,2,0,1,1,0.50,3,33.33,0,0
AB Agarkar,4,1,1,0,0,0,0,0,0,0
MA Agarwal,16,12,1,225,64,20.45,158,142.40,0,1
AN Ahmed,1,0,0,0,0,0,0,0,0,0
Anand Rajan,4,0,0,0,0,0,0,0,0,0
S Anirudha,4,2,2,19,18,0,7,271.42,0,0
Ankit Sharma,9,4,1,18,15,6.00,13,138.46,0,0
KP Appanna,7,0,0,0,0,0,0,0,0,0
S Aravind,1,1,1,14,14,0,8,175.00,0,0
KB Arun Karthik,1,0,0,0,0,0,0,0,0,0
A Ashish Reddy,9,5,1,35,10,8.75,29,120.68,0,0
R Ashwin,19,5,2,18,8,6.00,15,120.00,0,0
P Awana,12,2,2,4,4,0,5,80.00,0,0
Azhar Mahmood,11,10,2,186,36,23.25,142,130.98,0,0
S Badrinath,15,9,2,196,57,28.00,181,108.28,0,1
L Balaji,8,0,0,0,0,0,0,0,0,0
R Bhatia,17,6,3,35,12,11.66,28,125.00,0,0
RR Bhatkal,1,1,0,0,0,0.00,2,0.00,0,0
BA Bhatt,5,1,1,6,6,0,2,300.00,0,0
STR Binny,8,6,2,90,30,22.50,67,134.32,0,0
Bipul Sharma,5,4,1,72,35,24.00,47,153.19,0,0
MS Bisla,7,7,0,213,89,30.42,160,133.12,0,1
AC Blizzard,1,1,0,0,0,0.00,3,0.00,0,0
DE Bollinger,6,1,0,3,3,3.00,5,60.00,0,0
J Botha,11,7,3,58,14,14.50,54,107.40,0,0
DAJ Bracewell,1,1,1,12,12,0,9,133.33,0,0
DJ Bravo,19,16,8,371,48,46.37,264,140.53,0,0
UBT Chand,2,2,0,36,18,18.00,34,105.88,0,0
A Chandila,4,1,1,0,0,0,1,0.00,0,0
AA Chavan,8,2,1,11,7,11.00,8,137.50,0,0
PP Chawla,16,12,4,106,21,13.25,88,120.45,0,0
B Chipli,5,4,1,37,25,12.33,35,105.71,0,0
SD Chitnis,6,4,1,66,38,22.00,62,106.45,0,0
DT Christian,7,7,2,145,39,29.00,118,122.88,0,0
MJ Clarke,6,6,0,98,41,16.33,94,104.25,0,0
KK Cooper,6,4,2,38,14,19.00,20,190.00,0,0
DB Das,15,10,7,126,35,42.00,93,135.48,0,0
M de Lange,3,0,0,0,0,0,0,0,0,0
AB de Villiers,16,13,5,319,64,39.87,198,161.11,0,3
S Dhawan,15,15,1,569,84,40.64,439,129.61,0,5
MS Dhoni,19,17,5,358,51,29.83,278,128.77,0,1
TM Dilshan,10,9,1,285,76,35.62,261,109.19,0,3
AB Dinda,7,1,0,2,2,2.00,5,40.00,0,0
P Dogra,3,3,1,15,6,7.50,24,62.50,0,0
R Dravid,16,16,0,462,58,28.87,412,112.13,0,2
JP Duminy,9,9,6,244,74,81.33,190,128.42,0,2
F du Plessis,13,12,0,398,73,33.16,304,130.92,0,3
JP Faulkner,2,2,1,14,11,14.00,13,107.69,0,0
CJ Ferguson,4,4,0,50,23,12.50,63,79.36,0,0
AJ Finch,2,2,0,55,30,27.50,51,107.84,0,0
JEC Franklin,12,11,2,220,79,24.44,223,98.65,0,1
G Gambhir,17,17,1,590,93,36.87,411,143.55,0,6
SC Ganguly,15,15,0,268,45,17.86,271,98.89,0,0
CH Gayle,15,14,2,733,128,61.08,456,160.74,1,7
HH Gibbs,3,3,1,81,66,40.50,88,92.04,0,1
AC Gilchrist,7,7,2,172,64,34.40,143,120.27,0,1
MS Gony,6,1,0,4,4,4.00,8,50.00,0,0
SP Goswami,11,6,1,69,24,13.80,67,102.98,0,0
Sunny Gupta,1,1,0,0,0,0.00,1,0.00,0,0
Gurkeerat Singh,5,4,1,86,29,28.66,52,165.38,0,0
Harbhajan Singh,17,11,2,108,33,12.00,80,135.00,0,0
Harmeet Singh,7,2,1,15,14,15.00,7,214.28,0,0
Harpreet Singh,1,1,0,6,6,6.00,6,100.00,0,0
DJ Harris,4,4,0,111,47,27.75,101,109.90,0,0
RJ Harris,5,2,1,18,15,18.00,11,163.63,0,0
BW Hilfenhaus,9,0,0,0,0,0,0,0,0,0
BJ Hodge,12,12,4,245,48,30.62,175,140.00,0,0
