name,mat,inn,overs,mdns,runs,wkts,bbi,avg,econ,sr
AR Bawne,1,0,0,0,0,0,0,0,0,0
VR Aaron,6,6,20.0,0,163,7,2/3,23.28,8.15,17.1
AD Nath,1,0,0,0,0,0,0,0,0,0
MA Agarwal,3,0,0,0,0,0,0,0,0,0
SS Agarwal,1,1,4.0,0,42,1,1/42,42.00,10.50,24.0
HM Amla,10,0,0,0,0,0,0,0,0,0
CJ Anderson,11,8,18.5,0,186,3,1/23,62.00,9.87,37.6
Ankit Sharma,1,1,1.0,0,16,0,0,0,16.00,0
Ankit Soni,7,6,18.1,0,144,2,1/16,72.00,7.92,54.5
Anureet Singh,1,1,2.0,0,26,0,0,0,13.00,0
S Aravind,10,10,30.3,0,275,5,2/29,55.00,9.01,36.6
Avesh Khan,1,1,4.0,0,23,1,1/23,23.00,5.75,24.0
S Badree,7,7,25.0,1,188,9,4/9,20.88,7.52,16.6
Basil Thampi,12,12,44.4,0,424,11,3/29,38.54,9.49,24.3
R Bhatia,3,3,7.0,0,55,2,2/14,27.50,7.85,21.0
SW Billings,6,0,0,0,0,0,0,0,0,0
STR Binny,8,4,6.0,0,50,4,1/9,12.50,8.33,9.0
Bipul Sharma,7,7,16.2,0,129,3,1/4,43.00,7.89,32.6
TA Boult,6,6,23.5,0,216,5,2/30,43.20,9.06,28.6
CR Brathwaite,2,2,6.0,0,67,1,1/38,67.00,11.16,36.0
DM Bravo,1,0,0,0,0,0,0,0,0,0
JJ Bumrah,16,16,59.2,2,440,20,3/7,22.00,7.41,17.8
JC Buttler,10,0,0,0,0,0,0,0,0,0
KC Cariappa,4,4,15.0,0,127,4,2/24,31.75,8.46,22.5
YS Chahal,13,13,43.3,0,333,14,3/16,23.78,7.65,18.6
DL Chahar,3,3,7.0,0,74,1,1/35,74.00,10.57,42.0
RD Chahar,3,2,7.0,0,58,2,1/26,29.00,8.28,21.0
PP Chawla,6,6,20.0,0,179,6,2/34,29.83,8.95,20.0
A Choudhary,5,5,16.5,2,144,5,2/17,28.80,8.55,20.2
DT Christian,13,13,40.0,0,298,11,2/10,27.09,7.45,21.8
NM Coulter-Nile,8,8,28.2,0,228,15,3/20,15.20,8.04,11.3
PJ Cummins,12,12,46.1,0,373,15,2/20,24.86,8.07,18.4
BCJ Cutting,4,4,12.4,0,123,1,1/41,123.00,9.71,76.0
C de Grandhomme,12,9,16.0,0,135,4,3/4,33.75,8.43,24.0
AB de Villiers,9,0,0,0,0,0,0,0,0,0
S Dhawan,14,0,0,0,0,0,0,0,0,0
MS Dhoni,16,0,0,0,0,0,0,0,0,0
AB Dinda,3,3,10.0,0,119,1,1/26,119.00,11.90,60.0
F du Plessis,2,0,0,0,0,0,0,0,0,0
JP Faulkner,8,8,26.2,0,258,6,2/34,43.00,9.79,26.3
LH Ferguson,4,4,13.0,1,93,3,2/7,31.00,7.15,26.0
AJ Finch,13,0,0,0,0,0,0,0,0,0
G Gambhir,16,0,0,0,0,0,0,0,0,0
CH Gayle,9,0,0,0,0,0,0,0,0,0
MS Gony,1,1,2.0,0,32,0,0,0,16.00,0
MJ Guptill,7,0,0,0,0,0,0,0,0,0
Gurkeerat Singh,2,0,0,0,0,0,0,0,0,0
Harbhajan Singh,11,11,41.0,0,266,8,3/22,33.25,6.48,30.7
TM Head,7,5,8.0,0,81,2,2/30,40.50,10.12,24.0
MC Henriques,12,12,24.0,0,248,1,1/6,248.00,10.33,144.0
MJ Henry,2,2,5.0,0,71,1,1/31,71.00,14.20,30.0
DJ Hooda,10,3,4.0,0,42,2,1/7,21.00,10.50,12.0
Imran Tahir,12,12,47.0,0,369,18,3/18,20.50,7.85,15.6
Iqbal Abdulla,2,2,5.0,0,55,2,2/36,27.50,11.00,15.0
Ishan Kishan,11,0,0,0,0,0,0,0,0,0
SS Iyer,12,0,0,0,0,0,0,0,0,0
SP Jackson,4,0,0,0,0,0,0,0,0,0
RA Jadeja,12,12,38.0,0,349,5,2/28,69.80,9.18,45.6
KM Jadhav,13,0,0,0,0,0,0,0,0,0
IR Jaggi,2,0,0,0,0,0,0,0,0,0
SB Jakati,2,2,5.0,0,52,0,0,0,10.40,0
MG Johnson,5,5,20.0,1,141,7,3/26,20.14,7.05,17.1
CJ Jordan,1,1,1.0,0,9,1,1/9,9.00,9.00,6.0
KD Karthik,14,0,0,0,0,0,0,0,0,0
S Kaul,10,10,35.4,0,300,16,4/29,18.75,8.41,13.3
S Kaushik,3,3,11.0,0,105,0,0,0,9.54,0
Z Khan,11,11,40.1,0,313,10,3/20,31.30,7.79,24.1
V Kohli,10,0,0,0,0,0,0,0,0,0
Kuldeep Yadav,12,11,41.0,0,340,12,2/25,28.33,8.29,20.5
DS Kulkarni,6,6,18.5,0,173,3,1/24,57.66,9.18,37.6
