bowler,batsman,runs
PP Chawla,SK Raina,152
A Mishra,V Kohli,149
UT Yadav,V Kohli,141
PP Chawla,RG Sharma,136
Harbhajan Singh,SK Raina,132
A Mishra,KA Pollard,131
DJ Bravo,V Kohli,130
R Ashwin,V Kohli,127
P Kumar,DA Warner,124
M Morkel,RG Sharma,119
UT Yadav,RG Sharma,110
Z Khan,G Gambhir,109
SP Narine,DA Warner,108
B Kumar,CH Gayle,104
RA Jadeja,V Kohli,104
PP Chawla,CH Gayle,103
P Kumar,CH Gayle,103
DW Steyn,MS Dhoni,103
Harbhajan Singh,S Dhawan,103
KA Pollard,MS Dhoni,100
A Nehra,AC Gilchrist,100
R Bhatia,RG Sharma,100
DJ Bravo,KA Pollard,100
PP Chawla,WP Saha,99
R Vinay Kumar,SK Raina,98
PP Ojha,MS Dhoni,98
JA Morkel,G Gambhir,98
Harbhajan Singh,DA Warner,97
PP Chawla,AM Rahane,96
PP Chawla,V Kohli,95
A Mishra,YK Pathan,94
RA Jadeja,AB de Villiers,94
M Kartik,SR Watson,94
PP Ojha,YK Pathan,93
SK Trivedi,SK Raina,92
IK Pathan,V Kohli,92
Z Khan,JH Kallis,92
Z Khan,BB McCullum,90
MM Sharma,DA Warner,90
YS Chahal,DA Warner,90
SK Warne,JA Morkel,89
PP Ojha,JH Kallis,89
P Kumar,G Gambhir,88
RP Singh,V Sehwag,88
M Morkel,AM Rahane,88
UT Yadav,WP Saha,87
SP Narine,RG Sharma,87
DS Kulkarni,S Dhawan,86
MG Johnson,AM Rahane,86
P Kumar,SK Raina,85
P Kumar,M Vijay,85
A Mishra,AM Rahane,85
A Mishra,RV Uthappa,84
B Kumar,G Gambhir,84
SL Malinga,JH Kallis,84
Harbhajan Singh,G Gambhir,84
SP Narine,SK Raina,84
Harbhajan Singh,SE Marsh,84
MG Johnson,PA Patel,84
RA Jadeja,DA Miller,84
I Sharma,SR Tendulkar,83
A Mishra,SK Raina,83
R Ashwin,GJ Maxwell,83
JH Kallis,RG Sharma,82
DW Steyn,YK Pathan,82
Shakib Al Hasan,RG Sharma,82
Iqbal Abdulla,DR Smith,82
P Kumar,RG Sharma,81
SL Malinga,BB McCullum,81
R Vinay Kumar,SR Tendulkar,81
B Kumar,MS Dhoni,81
SL Malinga,SR Watson,81
IK Pathan,MS Dhoni,80
Harbhajan Singh,AB de Villiers,80
R Vinay Kumar,BB McCullum,80
UT Yadav,SK Raina,80
MM Sharma,PA Patel,80
P Kumar,V Sehwag,79
Sandeep Sharma,DA Warner,79
YS Chahal,SK Raina,79
M Morkel,S Dhawan,79
KV Sharma,V Kohli,79
MM Sharma,RV Uthappa,78
Harbhajan Singh,V Kohli,78
Harbhajan Singh,CH Gayle,78
I Sharma,JH Kallis,78
A Mishra,RG Sharma,78
R Vinay Kumar,AM Rahane,78
DS Kulkarni,V Kohli,78
P Kumar,S Dhawan,78
RA Jadeja,KA Pollard,77
A Nehra,MS Dhoni,76
SL Malinga,AB de Villiers,76
