batsman,bowler,wicket
MS Dhoni,PP Ojha,7
MS Dhoni,Z Khan,7
V Kohli,A Nehra,6
RG Sharma,SK Trivedi,6
G Gambhir,Z Khan,6
RG Sharma,R Vinay Kumar,6
PA Patel,B Kumar,6
AM Rahane,B Kumar,6
RG Sharma,DJ Bravo,5
RG Sharma,A Mishra,5
G Gambhir,Harbhajan Singh,5
SK Raina,Harbhajan Singh,5
G Gambhir,PP Ojha,5
RV Uthappa,A Mishra,5
KC Sangakkara,R Sharma,5
SR Watson,RA Jadeja,5
RG Sharma,SP Narine,5
V Kohli,Sandeep Sharma,5
SR Watson,AR Patel,5
AT Rayudu,MM Sharma,5
SR Tendulkar,PP Chawla,4
RV Uthappa,IK Pathan,4
V Kohli,MJ McClenaghan,4
AB de Villiers,KH Pandya,4
SK Raina,DJ Bravo,4
JH Kallis,RP Singh,4
MK Pandey,B Kumar,4
BB McCullum,SL Malinga,4
RA Jadeja,A Mishra,4
V Kohli,IK Pathan,4
NV Ojha,RP Singh,4
GJ Maxwell,A Mishra,4
BB McCullum,PP Chawla,4
SK Raina,PP Chawla,4
RV Uthappa,DS Kulkarni,4
SC Ganguly,R Vinay Kumar,4
KC Sangakkara,Harbhajan Singh,4
Harbhajan Singh,P Kumar,4
MK Pandey,Harbhajan Singh,4
V Kohli,Z Khan,4
V Kohli,DS Kulkarni,4
SK Raina,YS Chahal,4
RG Sharma,SK Warne,4
AT Rayudu,PP Chawla,4
AT Rayudu,SR Watson,4
CH Gayle,R Ashwin,4
AC Gilchrist,IK Pathan,4
AT Rayudu,AB Dinda,4
SV Samson,MJ McClenaghan,4
S Dhawan,Z Khan,4
S Dhawan,SL Malinga,4
RV Uthappa,R Ashwin,4
V Kohli,UT Yadav,4
MS Dhoni,JJ Bumrah,4
MK Pandey,SL Malinga,4
YK Pathan,R Vinay Kumar,4
AB de Villiers,PP Chawla,4
MEK Hussey,Z Khan,4
M Vijay,S Aravind,4
MK Tiwary,M Morkel,4
DJ Hussey,SK Trivedi,4
MEK Hussey,SP Narine,4
YK Pathan,B Kumar,4
Harbhajan Singh,DJ Bravo,4
S Dhawan,P Kumar,4
AT Rayudu,R Ashwin,4
KD Karthik,A Nehra,4
YK Pathan,MM Sharma,4
CH Gayle,Sandeep Sharma,4
S Dhawan,JP Faulkner,4
SPD Smith,RA Jadeja,4
KK Nair,Harbhajan Singh,4
RG Sharma,DS Kulkarni,4
DR Smith,Harbhajan Singh,4
GJ Maxwell,UT Yadav,3
DJ Bravo,RP Singh,3
V Sehwag,P Kumar,3
V Sehwag,A Nehra,3
SK Raina,SK Warne,3
KA Pollard,YS Chahal,3
JH Kallis,PP Ojha,3
AC Gilchrist,Z Khan,3
RV Uthappa,SK Warne,3
V Sehwag,SR Watson,3
G Gambhir,SR Watson,3
DPMD Jayawardene,JA Morkel,3
PA Patel,YK Pathan,3
PA Patel,SL Malinga,3
R Dravid,MM Patel,3
DPMD Jayawardene,DL Vettori,3
BB McCullum,RP Singh,3
SK Raina,P Kumar,3
RV Uthappa,M Muralitharan,3
HH Gibbs,Z Khan,3
Y Venugopal Rao,SL Malinga,3
DB Ravi Teja,SL Malinga,3
YK Pathan,PP Chawla,3
S Badrinath,RP Singh,3
RG Sharma,L Balaji,3
G Gambhir,AD Mascarenhas,3
SK Warne,A Mishra,3
IK Pathan,Z Khan,3
CH Gayle,Z Khan,3
AC Gilchrist,JA Morkel,3
SR Tendulkar,RP Singh,3
RV Uthappa,RA Jadeja,3
V Kohli,RA Jadeja,3
R Vinay Kumar,A Singh,3
PA Patel,P Kumar,3
SR Tendulkar,R Vinay Kumar,3
JH Kallis,DJ Bravo,3
TM Dilshan,I Sharma,3
YK Pathan,PP Ojha,3
RV Uthappa,M Kartik,3
V Kohli,L Balaji,3
MS Dhoni,SR Watson,3
TM Dilshan,S Sreesanth,3
V Sehwag,MM Patel,3
KC Sangakkara,R Ashwin,3
SR Tendulkar,R Bhatia,3
A Symonds,A Mishra,3
AC Gilchrist,A Kumble,3
R Vinay Kumar,RJ Harris,3
R Dravid,AD Mathews,3
S Badrinath,PP Ojha,3
S Dhawan,MM Sharma,3
DA Warner,L Balaji,3
KC Sangakkara,M Muralitharan,3
DPMD Jayawardene,M Muralitharan,3
AJ Finch,P Negi,3
BB McCullum,YS Chahal,3
TL Suman,Harbhajan Singh,3
DJ Hussey,UT Yadav,3
AD Mathews,UT Yadav,3
KA Pollard,IK Pathan,3
M Vijay,SR Watson,3
DJ Bravo,PP Ojha,3
SR Watson,RP Singh,3
GJ Maxwell,JJ Bumrah,3
M Vijay,Harbhajan Singh,3
MS Dhoni,KA Pollard,3
S Dhawan,IK Pathan,3
DPMD Jayawardene,SL Malinga,3
AD Mathews,R Vinay Kumar,3
AT Rayudu,A Nehra,3
BB McCullum,R Ashwin,3
DJ Hussey,R Ashwin,3
MK Pandey,SK Trivedi,3
SR Tendulkar,JH Kallis,3
R Dravid,Harbhajan Singh,3
KP Pietersen,Harbhajan Singh,3
RV Uthappa,KA Pollard,3
V Kohli,KA Pollard,3
RR Pant,JJ Bumrah,3
JH Kallis,SL Malinga,3
RG Sharma,JA Morkel,3
SK Raina,YK Pathan,3
JH Kallis,A Singh,3
MA Agarwal,R Ashwin,3
AB de Villiers,JA Morkel,3
AJ Finch,MM Sharma,3
JH Kallis,R Vinay Kumar,3
MK Tiwary,R Vinay Kumar,3
R Ashwin,Harbhajan Singh,3
JH Kallis,DL Vettori,3
G Gambhir,S Aravind,3
DA Warner,P Kumar,3
AT Rayudu,A Mishra,3
V Kohli,M Morkel,3
DPMD Jayawardene,I Sharma,3
AM Rahane,KV Sharma,3
Yuvraj Singh,SL Malinga,3
V Kohli,PP Chawla,3
AM Rahane,SP Narine,3
DA Warner,Harbhajan Singh,3
SE Marsh,B Kumar,3
MK Pandey,P Kumar,3
P Kumar,SL Malinga,3
BB McCullum,Bipul Sharma,3
RA Jadeja,PP Chawla,3
V Kohli,JH Kallis,3
PA Patel,R Ashwin,3
MK Tiwary,B Kumar,3
Shakib Al Hasan,SL Malinga,3
R Ashwin,SL Malinga,3
RA Jadeja,SL Malinga,3
V Sehwag,Z Khan,3
KD Karthik,DW Steyn,3
AB de Villiers,L Balaji,3
P Dogra,R Bhatia,3
AM Rahane,A Mishra,3
SPD Smith,R Vinay Kumar,3
RG Sharma,JP Faulkner,3
AM Rahane,R Ashwin,3
KD Karthik,PP Chawla,3
JH Kallis,DW Steyn,3
SS Iyer,Sandeep Sharma,3
RV Uthappa,A Ashish Reddy,3
AT Rayudu,S Nadeem,3
YK Pathan,R Ashwin,3
SK Raina,A Mishra,3
SR Watson,PP Chawla,3
KD Karthik,DJ Bravo,3
S Nadeem,SP Narine,3
KD Karthik,M Muralitharan,3
SR Watson,JJ Bumrah,3
DA Warner,BW Hilfenhaus,3
AT Rayudu,Shakib Al Hasan,3
DR Smith,Imran Tahir,3
RV Uthappa,Iqbal Abdulla,3
NV Ojha,R Bhatia,3
KA Pollard,DJ Bravo,3
KD Karthik,R Vinay Kumar,3
AJ Finch,MG Johnson,3
CH Gayle,CH Morris,3
RV Uthappa,CH Morris,3
SK Raina,B Kumar,3
CH Gayle,M Morkel,3
MG Johnson,JP Faulkner,3
PP Chawla,NLTC Perera,3
G Gambhir,CH Morris,3
STR Binny,R Vinay Kumar,3
SR Watson,DJ Bravo,3
V Kohli,AB Dinda,3
DA Warner,Sandeep Sharma,3
CH Gayle,Harbhajan Singh,3
Yuvraj Singh,UT Yadav,3
G Gambhir,MG Johnson,3
RA Jadeja,SR Watson,3
S Dhawan,MG Johnson,3
G Gambhir,IC Pandey,3
BB McCullum,AR Patel,3
KA Pollard,B Kumar,3
KL Rahul,DS Kulkarni,3
KA Pollard,MM Sharma,3
F du Plessis,Harbhajan Singh,3
AR Patel,SP Narine,3
DR Smith,B Kumar,3
DA Miller,YS Chahal,3
DA Miller,SL Malinga,3
V Kohli,B Kumar,3
WP Saha,M Morkel,3
GJ Maxwell,PP Chawla,3
DA Warner,UT Yadav,3
RV Uthappa,KV Sharma,3
PA Patel,A Nehra,3
SK Raina,CH Morris,3
SPD Smith,DJ Bravo,3
GJ Bailey,MC Henriques,3
Gurkeerat Singh,AD Russell,3
CH Gayle,DS Kulkarni,3
WP Saha,DJ Bravo,3
MS Dhoni,A Nehra,3
SR Watson,A Nehra,2
MA Agarwal,MJ McClenaghan,2
M Vohra,PP Chawla,2
DA Miller,UT Yadav,2
AR Patel,UT Yadav,2
RV Uthappa,AR Patel,2
JH Kallis,SK Trivedi,2
Misbah-ul-Haq,MF Maharoof,2
P Kumar,GD McGrath,2
AB de Villiers,DW Steyn,2
SC Ganguly,SK Trivedi,2
DB Das,Sohail Tanvir,2
WP Saha,SR Watson,2
Umar Gul,Sohail Tanvir,2
RV Uthappa,Yuvraj Singh,2
JH Kallis,MS Gony,2
V Kohli,M Muralitharan,2
S Badrinath,A Kumble,2
JA Morkel,DW Steyn,2
AC Gilchrist,RR Powar,2
GC Smith,SK Raina,2
YK Pathan,JA Morkel,2
PA Patel,SK Warne,2
JA Morkel,Sohail Tanvir,2
V Kohli,RP Singh,2
MV Boucher,RP Singh,2
R Dravid,SB Styris,2
HH Gibbs,P Kumar,2
KC Sangakkara,Umar Gul,2
DPMD Jayawardene,AB Dinda,2
DB Das,S Sreesanth,2
DJ Hussey,PP Chawla,2
LR Shukla,VRV Singh,2
WP Saha,PP Chawla,2
SR Watson,RR Raje,2
GC Smith,MF Maharoof,2
M Kaif,A Mishra,2
SR Watson,A Mishra,2
S Dhawan,SR Watson,2
MK Tiwary,MM Patel,2
TM Dilshan,SK Warne,2
SK Raina,SR Watson,2
SA Asnodkar,JA Morkel,2
M Kaif,M Muralitharan,2
DJ Bravo,Joginder Sharma,2
MS Dhoni,SL Malinga,2
RV Uthappa,AD Mascarenhas,2
SA Asnodkar,P Kumar,2
GC Smith,P Kumar,2
SK Warne,A Kumble,2
AM Rahane,P Kumar,2
MS Dhoni,RA Jadeja,2
KD Karthik,Imran Tahir,2
AC Gilchrist,AB Dinda,2
VVS Laxman,AB Dinda,2
SK Raina,KP Pietersen,2
JH Kallis,JA Morkel,2
IK Pathan,SC Ganguly,2
G Gambhir,L Balaji,2
V Sehwag,MS Gony,2
TM Dilshan,JA Morkel,2
